cd_municipio_ibge_dv_origem,cd_municipio_ibge_dv_alta_complex,cd_municipio_ibge_dv_baixa_med_complex,exerce_influencia_regic,influenciado_regic,presta_alta,presta_baixa,procura_servicos_alta,procura_servicos_baixa,grau_infl_exerce,grau_infl_recebe
3503505,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3120409,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3552007,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
5220504,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3165404,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2307205,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2308104,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2304301,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2313708,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2311959,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2307502,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2614303,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2605301,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2607653,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
3519600,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
5108204,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
4310363,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2604304,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2603207,NULL,2606002,1,1,NULL,NULL,1,1,NULL,3
3513603,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3537206,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3151602,NULL,3549805,1,1,NULL,NULL,1,1,NULL,3
2706703,NULL,NULL,1,1,NULL,1,1,1,NULL,3
3550001,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4319752,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4305934,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3548203,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4210704,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2504405,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
2301703,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2301604,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2307106,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3204203,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3301207,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4211108,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4213104,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
4200705,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4213807,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
3300209,NULL,3300704,1,1,NULL,NULL,1,1,NULL,3
4207908,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4208302,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
4220000,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3305604,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3304300,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
2309508,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2300101,NULL,2302503,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2302701,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
2311900,NULL,2305506,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2307403,NULL,2305506,1,1,NULL,NULL,1,1,NULL,3
2311207,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2303204,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2310605,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2312106,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2308401,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3300803,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2930105,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
2930774,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2905909,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2925253,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4127601,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4126306,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4108957,NULL,4110706,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4106803,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4120705,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4110508,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4120309,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4100301,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4124103,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
2917706,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2906006,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
3552700,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2930204,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2910859,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2917003,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2904308,NULL,2918001,1,1,NULL,NULL,1,1,NULL,3
2901809,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2924405,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4128534,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4112603,NULL,4118402,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4105201,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
4125407,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4113254,NULL,4109401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3526209,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3513405,NULL,NULL,1,1,NULL,1,1,1,NULL,3
3507407,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3508603,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3503158,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3548609,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
4316501,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
4313201,NULL,4305108,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3541901,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3526308,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4305587,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4305835,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3549607,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4112009,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
3510500,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
3520103,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
4104105,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2704500,NULL,NULL,1,1,NULL,1,1,1,NULL,3
2909901,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4121208,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4111308,NULL,4118402,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4111407,NULL,4119905,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4110102,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4120101,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
4121703,NULL,4119905,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3154903,NULL,3152105,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3538501,NULL,3527207,NULL,NULL,NULL,NULL,1,1,NULL,NULL
3510104,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2102804,NULL,NULL,1,1,NULL,NULL,1,1,NULL,3
2101608,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1101559,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100155,1100205,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1100080,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100338,1100205,1100205,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1101708,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100114,1100205,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1100262,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1101005,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100502,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1101203,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100148,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1101435,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1101500,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1302405,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1301704,1100205,1100205,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1300144,1100205,1100205,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100130,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100122,1100205,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1101807,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100106,1100205,1100205,1,1,NULL,NULL,1,1,NULL,3
1100098,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100320,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100601,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100809,1100205,1100205,NULL,1,NULL,NULL,1,1,NULL,3
1100205,1100205,1100205,1,1,1,1,1,1,3,3
1101104,1100205,1100205,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100403,1100205,1100205,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100700,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100346,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100452,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1101492,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1100254,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1101609,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1101757,1100205,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1301506,1200401,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200013,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200708,1200401,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200500,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200138,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200401,1200401,1200401,NULL,NULL,1,1,1,1,NULL,NULL
1200435,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200104,1200401,NULL,1,1,NULL,1,1,1,NULL,3
1200054,1200401,NULL,1,1,NULL,NULL,1,1,NULL,3
1200450,1200401,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1200179,1200401,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200385,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200328,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200252,1200401,1200401,NULL,1,NULL,NULL,1,1,NULL,3
1200302,1200401,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200807,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200344,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1200609,1200401,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1300706,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1303502,1200401,1200401,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1501808,1501808,NULL,NULL,NULL,1,1,1,1,NULL,NULL
1504505,1501808,1501808,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1502954,1504208,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1504208,1504208,NULL,NULL,NULL,1,1,1,1,NULL,NULL
1505635,1504208,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1500131,1504208,1504208,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1502772,1504208,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1505494,1504208,1504208,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1506187,1504208,1504208,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1504976,1504208,1504208,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1503754,1506807,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1506195,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1502855,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1504752,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1508050,1506807,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1505304,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1506005,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1503606,1506807,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1501006,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1507979,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1503903,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1501451,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1505650,1506807,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1506807,1506807,NULL,NULL,NULL,1,1,1,1,NULL,NULL
1504802,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1505031,1506807,1506807,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1505486,1508100,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1508100,1508100,NULL,NULL,NULL,1,1,1,1,NULL,NULL
1502509,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600303,1600303,1600303,1,1,1,1,1,1,3,3
1600501,1600303,1600303,1,1,NULL,NULL,1,1,NULL,3
1500305,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600550,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600709,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600279,1600303,1600303,1,1,NULL,NULL,1,1,NULL,3
1600212,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600154,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600535,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600238,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600402,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600253,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600055,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600808,1600303,1600303,NULL,1,NULL,NULL,1,1,NULL,3
1600204,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1600105,1600303,1600303,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1714302,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1720309,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1707702,1702109,1702109,NULL,1,NULL,NULL,1,1,NULL,3
1703883,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1706001,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1721208,1702109,NULL,1,1,NULL,1,1,1,NULL,3
1705508,1702109,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1703602,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703842,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1702109,1702109,NULL,NULL,NULL,1,1,1,1,NULL,NULL
1703800,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703057,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1702158,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1706506,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703891,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703073,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718865,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1714880,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1702307,1702109,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1720101,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703008,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1716653,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703206,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1700301,1702109,1702109,NULL,1,NULL,NULL,1,1,NULL,3
1505536,1702109,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1711803,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1716307,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718303,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1716703,1702109,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1709005,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1507458,1702109,NULL,1,1,NULL,1,1,1,NULL,3
1713957,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1715705,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1701002,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1712454,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1713809,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1710508,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1701309,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718550,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1711100,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1722107,1702109,1702109,NULL,1,NULL,NULL,1,1,NULL,3
1701051,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1717206,1702109,1702109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2104057,1702109,NULL,1,1,NULL,NULL,1,1,NULL,3
1721307,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1708254,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1720002,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1707405,1702109,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703826,1702554,1702554,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1702554,1702554,NULL,NULL,NULL,1,1,1,1,NULL,NULL
1712801,1702554,1702554,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1706100,1716109,1716109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1716109,1716109,NULL,NULL,NULL,1,1,1,1,NULL,NULL
1703909,1716109,1716109,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1717909,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1711902,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1710904,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718451,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1708205,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
5103353,1721000,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1707009,1721000,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1707108,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1720150,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1720978,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1720903,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1709302,1721000,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1715259,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1700400,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1712009,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718204,1721000,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1716604,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1713601,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703107,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1708304,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1702703,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1707306,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1720853,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1712157,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1713205,1721000,NULL,1,1,NULL,1,1,1,NULL,3
1712702,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718006,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718402,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1717503,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1702406,1721000,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1704105,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1707553,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718881,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718840,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1720655,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1705102,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718907,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1717008,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703867,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1720259,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1706258,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1715101,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703305,1721000,1721000,NULL,1,NULL,NULL,1,1,NULL,3
1711951,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1703701,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1701101,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1709807,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1721109,1721000,1721000,NULL,1,NULL,NULL,1,1,NULL,3
1506708,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1700350,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1721000,1721000,NULL,NULL,NULL,1,1,1,1,NULL,NULL
1712504,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1721257,1721000,1721000,NULL,1,NULL,NULL,1,1,NULL,3
1718899,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1707207,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1705557,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1713304,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718709,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1711506,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1715150,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1705607,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718758,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1715507,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1715002,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1707652,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718501,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1716505,1721000,NULL,1,1,NULL,1,1,1,NULL,3
1717800,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1713700,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1718659,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1700251,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1720937,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1714203,1721000,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL
1712405,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1701903,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1719004,1721000,1721000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
1704600,1721000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2100105,2103000,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2103000,2103000,NULL,NULL,NULL,1,1,1,1,NULL,NULL
2100303,2103000,2103000,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2108603,2108603,NULL,NULL,NULL,1,1,1,1,NULL,NULL
2108256,2108603,2108603,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2103125,2108603,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2111953,2109106,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2110658,2109106,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2111250,2109106,2109106,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2104503,2109106,2109106,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2108009,2109106,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2107704,2109106,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
2111904,2109106,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
